,OXY
% Below High,0.1137
% Held by Institutions,0.7718
52-Wk Range,['26.05 - 77.13']
Annual Dividend $,0.52
Annual Dividend %,0.0074
Ask,68.37
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.8
Bid,68.33
Bid Size,100.0
Day Change $,-1.92
Day Change %,-0.0273
Day High,68.44
Day Low,67.38
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",12.08
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.556
Last (size),100.0
Last (time),9:55a ET 11/28/22
Market Cap,62.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.82
Prev Close,70.28
Price,68.36
Short Interest,0.061500000000000006
Today's Open,68.15
Volume Past Day,(Heavy Day)
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-02-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-29 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
