,OVV
% Below High,0.1536
% Held by Institutions,0.7568
52-Wk Range,['29.52 - 63.30']
Annual Dividend $,1.0
Annual Dividend %,0.0181
Ask,53.6
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.9
Bid,53.57
Bid Size,200.0
Day Change $,-1.56
Day Change %,-0.028300000000000002
Day High,53.8
Day Low,52.91
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",14.1
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.618
Last (size),100.0
Last (time),9:52a ET 11/28/22
Market Cap,13.2B
"P/E Ratio (TTM, GAAP)",3.91
Prev Close,55.14
Price,53.58
Shares Outstanding,248.3M
Short Interest,0.0253
Today's Open,53.22
Volume Past Day,(Above Average)
